SampleID	signature	Sig_Contribution	Sig_Contribution_sum	Relative_Contribution
P104_LMB	SBS4	26.0546696429751	80.7074729304235	0.322828465530526
P104_LMB	SBS92	0	80.7074729304235	0
P104_LMB	SBS13	0.00171899674895134	80.7074729304235	2.1299102629979e-05
P104_LMB	SBS2	5.5443488520917	80.7074729304235	0.0686968461628254
P104_LMB	SBS5	35.348832446405	80.7074729304235	0.437987105318966
P104_LMB	SBS1	13.7579029922028	80.7074729304235	0.170466283885053
P104_LUL	SBS4	25.5690079791306	76.1655249613176	0.335703167438502
P104_LUL	SBS92	0	76.1655249613176	0
P104_LUL	SBS13	0	76.1655249613176	0
P104_LUL	SBS2	4.63937069923518	76.1655249613176	0.0609116880844896
P104_LUL	SBS5	33.6759994526119	76.1655249613176	0.442142287730768
P104_LUL	SBS1	12.2811468303399	76.1655249613176	0.16124285674624
P119_LMB	SBS4	104.125167187209	418.39103435084	0.248870455239955
P119_LMB	SBS92	0	418.39103435084	0
P119_LMB	SBS13	79.5202315667746	418.39103435084	0.19006198756184
P119_LMB	SBS2	58.361836519668	418.39103435084	0.139491126071141
P119_LMB	SBS5	151.01077709312	418.39103435084	0.360932153642877
P119_LMB	SBS1	25.3730219840683	418.39103435084	0.060644277484187
P119_LUL	SBS4	103.933697313875	416.794741215658	0.249364224247967
P119_LUL	SBS92	0	416.794741215658	0
P119_LUL	SBS13	79.4685119724555	416.794741215658	0.190665822079883
P119_LUL	SBS2	58.5249166907901	416.794741215658	0.140416638943408
P119_LUL	SBS5	150.822994129022	416.794741215658	0.361863956558374
P119_LUL	SBS1	24.0446211095161	416.794741215658	0.0576893581703683
P132_RIBRUL	SBS4	92.1586418242453	252.329368502148	0.365231531990541
P132_RIBRUL	SBS92	0	252.329368502148	0
P132_RIBRUL	SBS13	11.7835115604415	252.329368502148	0.046698930173644
P132_RIBRUL	SBS2	6.75143582689757	252.329368502148	0.0267564408652658
P132_RIBRUL	SBS5	123.780164157747	252.329368502148	0.490549970035268
P132_RIBRUL	SBS1	17.8556151328169	252.329368502148	0.0707631269352815
P132_RMB	SBS4	91.9241461891401	254.050157734218	0.361834635368774
P132_RMB	SBS92	0	254.050157734218	0
P132_RMB	SBS13	13.2765155504375	254.050157734218	0.0522594265197312
P132_RMB	SBS2	6.57136295629259	254.050157734218	0.0258663998278931
P132_RMB	SBS5	124.934281722746	254.050157734218	0.491770140341538
P132_RMB	SBS1	17.3438513156015	254.050157734218	0.0682693979420641
P132_RUL	SBS4	46.5893569006924	145.954152905464	0.319205421519379
P132_RUL	SBS92	0	145.954152905464	0
P132_RUL	SBS13	5.07845732192837	145.954152905464	0.0347948805897818
P132_RUL	SBS2	5.36700717583246	145.954152905464	0.036771870268801
P132_RUL	SBS5	74.98018800404	145.954152905464	0.513724251838216
P132_RUL	SBS1	13.9391435029705	145.954152905464	0.095503575783822
P152_LMB	SBS4	106.784912770166	266.253317808513	0.401065097137922
P152_LMB	SBS92	47.2435040575486	266.253317808513	0.177438179724489
P152_LMB	SBS13	4.30757283739156	266.253317808513	0.0161784757194632
P152_LMB	SBS2	4.33695370405401	266.253317808513	0.0162888250172834
P152_LMB	SBS5	94.0802387061927	266.253317808513	0.353348606058889
P152_LMB	SBS1	9.50013573316113	266.253317808513	0.0356808163419527
P152_RIB	SBS4	105.613416196711	266.914723835081	0.395682241426165
P152_RIB	SBS92	46.9647697783786	266.914723835081	0.175954211530859
P152_RIB	SBS13	4.46655998554794	266.914723835081	0.0167340337069891
P152_RIB	SBS2	4.29687673033937	266.914723835081	0.0160983128566347
P152_RIB	SBS5	95.2783968562649	266.914723835081	0.356961937083452
P152_RIB	SBS1	10.2947042878392	266.914723835081	0.0385692633959004
P152_TRA	SBS4	66.0767951485308	159.654689602592	0.413873186644296
P152_TRA	SBS92	1.21907469433973	159.654689602592	0.00763569612251427
P152_TRA	SBS13	3.3802639458966	159.654689602592	0.0211723436017486
P152_TRA	SBS2	0.613777020852236	159.654689602592	0.00384440333309364
P152_TRA	SBS5	78.6369138164545	159.654689602592	0.492543714263547
P152_TRA	SBS1	9.72786497651827	159.654689602592	0.0609306560347998
